"gender";"ethnicity";"birth";"grade";"star";"read";"math";"lunch";"school";"degree";"ladder";"experience";"tethnicity";"system";"schoolid"
"male";"cauc";1980.25;"k";"regular";448;559;"non-free";"rural";"bachelor";"level1";16;"cauc";"35";"69"
"male";"cauc";1980.25;"1";"regular";651;584;"non-free";"rural";"bachelor";"level3";11;"cauc";"35";"69"
"male";"cauc";1980.25;"2";"regular";614;639;"non-free";"rural";"bachelor";"level1";31;"cauc";"35";"69"
"male";"cauc";1980.25;"3";"regular";641;684;"non-free";"rural";"bachelor";"level1";7;"cauc";"35";"69"
"male";"cauc";1980.25;"k";"small";447;489;"free";"rural";"bachelor";"level1";5;"cauc";"41";"79"
"male";"cauc";1980.25;"1";"small";533;545;"free";"rural";"master";"level1";15;"cauc";"41";"79"
"male";"cauc";1980.25;"2";"small";608;603;"free";"rural";"master";"level1";14;"cauc";"41";"79"
"male";"cauc";1980.25;"3";"small";665;648;"free";"rural";"bachelor";"level1";14;"cauc";"41";"79"
"male";"cauc";1980.25;"k";"regular";431;454;"free";"rural";"bachelor";"level1";8;"cauc";"4";"5"
"male";"cauc";1980.25;"1";"regular";558;553;NA;"rural";"bachelor";"probation";0;"cauc";"4";"5"
"male";"cauc";1980.25;"2";"regular";608;579;"free";"rural";"bachelor";"level1";9;"cauc";"4";"5"
"male";"cauc";1980.25;"3";"regular";597;589;"free";"rural";"bachelor";"level1";8;"cauc";"4";"5"
"female";"afam";1980.25;"k";"regular+aide";395;423;"free";"inner-city";"master";"level1";17;"cauc";"11";"16"
"female";"afam";1980.25;"1";"regular";454;490;"free";"inner-city";"bachelor";"level1";5;"cauc";"11";"16"
"female";"afam";1980.25;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"afam";1980.25;"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1980;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1980;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1980;"2";"regular";586;603;"non-free";"suburban";"bachelor";"level1";4;"cauc";"17";"41"
"female";"cauc";1980;"3";"regular";606;631;"non-free";"suburban";"master";"level1";19;"cauc";"17";"41"
"female";"cauc";1980;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1980;"1";"regular";505;493;"non-free";"urban";"bachelor";"level1";17;"cauc";"20";"48"
"female";"cauc";1980;"2";"small";539;590;NA;"urban";"bachelor";"level1";28;"cauc";"20";"48"
"female";"cauc";1980;"3";"small";597;589;"free";"urban";"bachelor";"level1";13;"cauc";"20";"48"
"female";"afam";1980.25;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"afam";1980.25;"1";"regular";472;481;"free";"suburban";"bachelor";"probation";1;"afam";"22";"51"
"female";"afam";1980.25;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"afam";1980.25;"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"afam";1979.5;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"afam";1979.5;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"afam";1979.5;"2";"regular+aide";520;540;"free";"inner-city";"master";NA;2;"cauc";"11";"19"
"female";"afam";1979.5;"3";"regular+aide";578;606;"free";"inner-city";"bachelor";"level1";26;"afam";"11";"19"
"female";"afam";1980.5;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"afam";1980.5;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"afam";1980.5;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"afam";1980.5;"3";"small";NA;NA;NA;"inner-city";"master";"level1";21;"afam";"11";"15"
"male";"afam";1980.25;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"afam";1980.25;"1";"small";571;567;"free";"suburban";"master";"level3";14;"cauc";"22";"51"
"male";"afam";1980.25;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"afam";1980.25;"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1980;"k";"regular";451;500;"non-free";"rural";"bachelor";"apprentice";3;"afam";"24";"56"
"female";"cauc";1980;"1";"regular";548;567;"free";"rural";"bachelor";"level1";5;"cauc";"24";"56"
"female";"cauc";1980;"2";"regular";596;587;"free";"rural";"bachelor";"notladder";18;"cauc";"41";"78"
"female";"cauc";1980;"3";"regular";606;667;"free";"rural";"specialist";"level1";13;"cauc";"41";"78"
"male";"cauc";1979.25;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"cauc";1979.25;"1";"regular+aide";453;484;"free";"rural";"bachelor";"level1";13;"cauc";"6";"8"
"male";"cauc";1979.25;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"cauc";1979.25;"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"afam";1980.5;"k";"small";478;439;"non-free";"rural";"bachelor";"level1";11;"cauc";"8";"11"
"female";"afam";1980.5;"1";"small";514;461;"non-free";"rural";"bachelor";"level1";31;"cauc";"8";"11"
"female";"afam";1980.5;"2";"small";569;584;"free";"rural";"bachelor";"level1";14;"cauc";"8";"11"
"female";"afam";1980.5;"3";"small";606;596;"free";"rural";"bachelor";"level1";14;"cauc";"8";"11"
"male";"cauc";1979.75;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"cauc";1979.75;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"cauc";1979.75;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"cauc";1979.75;"3";"regular+aide";606;568;"free";"rural";"bachelor";"apprentice";2;"cauc";"36";"71"
"female";"cauc";1980.5;"k";"small";455;528;"non-free";"rural";"bachelor";"level1";10;"cauc";"32";"66"
"female";"cauc";1980.5;"1";"small";530;507;"free";"rural";"bachelor";"level1";4;"cauc";"32";"66"
"female";"cauc";1980.5;"2";"small";608;546;"non-free";"rural";"bachelor";"apprentice";1;"cauc";"32";"66"
"female";"cauc";1980.5;"3";"small";654;606;"free";"rural";"bachelor";"notladder";24;"cauc";"32";"66"
"male";"cauc";1979;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"cauc";1979;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"cauc";1979;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"cauc";1979;"3";"regular+aide";564;564;"non-free";"rural";"bachelor";"level1";13;"cauc";"32";"66"
"female";"cauc";1980.25;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1980.25;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1980.25;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1980.25;"3";"regular+aide";680;603;"free";"rural";"bachelor";"level1";17;"cauc";"14";"38"
"male";"cauc";1980;"k";"regular";430;473;"non-free";"rural";"master";"level1";13;"cauc";"14";"38"
"male";"cauc";1980;"1";"regular";490;567;"non-free";"rural";"bachelor";"level1";19;"cauc";"14";"38"
"male";"cauc";1980;"2";"regular";622;615;"non-free";"rural";"bachelor";"level3";14;"cauc";"14";"38"
"male";"cauc";1980;"3";"regular";633;645;"non-free";"rural";"bachelor";"level1";3;"cauc";"14";"38"
"male";"cauc";1980.5;"k";"regular+aide";437;468;"non-free";"rural";"master";"level1";6;"cauc";"35";"69"
"male";"cauc";1980.5;"1";"regular+aide";503;512;"non-free";"rural";"bachelor";"level3";16;"cauc";"35";"69"
"male";"cauc";1980.5;"2";"regular+aide";552;574;"non-free";"rural";"bachelor";"level1";8;"cauc";"35";"69"
"male";"cauc";1980.5;"3";"regular+aide";578;554;"non-free";"rural";"bachelor";"level3";12;"cauc";"35";"69"
"female";"afam";1980;"k";"regular";NA;NA;"free";"inner-city";"bachelor";NA;9;"afam";"11";"28"
"female";"afam";1980;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"afam";1980;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"afam";1980;"3";"regular";661;631;"free";"suburban";NA;NA;NA;NA;"11";"23"
"female";"cauc";1979.25;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1979.25;"1";"small";548;532;"free";"urban";"master";"level1";15;"cauc";"7";"10"
"female";"cauc";1979.25;"2";"small";NA;NA;NA;"rural";"bachelor";"level2";33;"cauc";"42";"80"
"female";"cauc";1979.25;"3";"small";639;626;"free";"rural";"master";"level1";12;"cauc";"42";"80"
"male";"cauc";1980;"k";"small";474;559;"non-free";"suburban";"bachelor";"probation";0;"cauc";"18";"43"
"male";"cauc";1980;"1";"small";629;584;"free";"suburban";"master";"notladder";16;"cauc";"18";"43"
"male";"cauc";1980;"2";"small";659;632;"non-free";"suburban";"bachelor";"level1";10;"cauc";"18";"43"
"male";"cauc";1980;"3";"small";728;684;"non-free";"suburban";"bachelor";"level1";6;"cauc";"18";"43"
"male";"cauc";1980;"k";"small";424;494;"non-free";"rural";"bachelor";"level1";6;"cauc";"36";"71"
"male";"cauc";1980;"1";"small";519;512;"free";"rural";"master";"level1";6;"cauc";"36";"71"
"male";"cauc";1980;"2";"small";559;590;NA;"rural";"bachelor";"level1";4;"cauc";"36";"71"
"male";"cauc";1980;"3";"small";606;597;"non-free";"rural";"master";"level3";13;"cauc";"36";"71"
"male";"cauc";1979.5;"k";"regular+aide";490;528;"non-free";"suburban";"bachelor";"level1";18;"cauc";"22";"52"
"male";"cauc";1979.5;"1";"regular+aide";571;572;"non-free";"suburban";"master";"level1";13;"cauc";"22";"52"
"male";"cauc";1979.5;"2";"regular";586;561;"non-free";"suburban";"bachelor";"level1";9;"cauc";"22";"52"
"male";"cauc";1979.5;"3";"regular";631;589;"non-free";"suburban";"bachelor";"notladder";15;"afam";"22";"52"
"male";"cauc";1980.5;"k";"regular";439;484;"non-free";"suburban";"master";"level1";13;"cauc";"22";"54"
"male";"cauc";1980.5;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"cauc";1980.5;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"cauc";1980.5;"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1979.75;"k";"regular+aide";424;459;"free";"rural";"bachelor";"level1";12;"cauc";"9";"12"
"female";"cauc";1979.75;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1979.75;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1979.75;"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"afam";1980.5;"k";"regular";437;528;"free";"suburban";"bachelor";"apprentice";1;"afam";"11";"21"
"female";"afam";1980.5;"1";"regular";503;497;"free";"suburban";"master";"level1";23;"cauc";"11";"21"
"female";"afam";1980.5;"2";"regular";559;543;"free";"suburban";"bachelor";"level1";10;"afam";"11";"21"
"female";"afam";1980.5;"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1979;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1979;"1";"regular";503;538;"free";"rural";"master";"level1";42;"cauc";"30";"63"
"female";"cauc";1979;"2";"regular";566;552;"free";"rural";"master";"level1";15;"cauc";"30";"63"
"female";"cauc";1979;"3";"regular";565;580;"free";"rural";"bachelor";"level1";9;"cauc";"30";"63"
"female";"cauc";1980.25;"k";"small";422;478;"non-free";"rural";"master";"level1";8;"cauc";"40";"76"
"female";"cauc";1980.25;"1";"small";544;502;"non-free";"rural";"master";"level1";14;"cauc";"40";"77"
"female";"cauc";1980.25;"2";"small";643;568;"non-free";"rural";"bachelor";"level1";6;"cauc";"40";"77"
"female";"cauc";1980.25;"3";"small";647;610;"non-free";"rural";"bachelor";"apprentice";2;"cauc";"40";"77"
"male";"cauc";1979.75;"k";"regular";424;559;"free";"rural";"bachelor";"level1";13;"cauc";"41";"79"
"male";"cauc";1979.75;"1";"small";501;545;"non-free";"rural";"master";"level1";16;"cauc";"41";"79"
"male";"cauc";1979.75;"2";"small";577;593;"free";"rural";"bachelor";"level1";18;"cauc";"41";"79"
"male";"cauc";1979.75;"3";"small";622;691;"non-free";"rural";"master";"level1";12;"cauc";"41";"79"
"male";"cauc";1979.5;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"cauc";1979.5;"1";"regular+aide";521;557;"non-free";"urban";"master";"level1";8;"cauc";"6";"9"
"male";"cauc";1979.5;"2";"regular+aide";NA;NA;NA;"urban";"bachelor";"notladder";17;"cauc";"6";"9"
"male";"cauc";1979.5;"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"cauc";1980.25;"k";"regular";NA;NA;"non-free";"rural";"bachelor";NA;5;"cauc";"1";"1"
"male";"cauc";1980.25;"1";"regular";477;484;"non-free";"rural";"bachelor";"apprentice";2;"cauc";"1";"1"
"male";"cauc";1980.25;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"cauc";1980.25;"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1979.25;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1979.25;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1979.25;"2";"regular";481;500;"free";"rural";"master";"level1";19;"cauc";"10";"13"
"female";"cauc";1979.25;"3";"regular";536;546;NA;"rural";"bachelor";"probation";0;"cauc";"10";"13"
"male";"cauc";1980.25;"k";"regular";431;454;"non-free";"rural";"master";"level1";13;"cauc";"6";"8"
"male";"cauc";1980.25;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"cauc";1980.25;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"cauc";1980.25;"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"afam";1980;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"afam";1980;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"afam";1980;"2";"regular";596;620;"free";"inner-city";"bachelor";"notladder";40;"afam";"11";"29"
"male";"afam";1980;"3";"regular";608;672;"free";"inner-city";"bachelor";"level1";5;"afam";"11";"29"
"female";"afam";NA;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"afam";NA;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"afam";NA;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"afam";NA;"3";"regular+aide";NA;NA;"free";"inner-city";"bachelor";"probation";2;"cauc";"11";"29"
"male";"cauc";1980;"k";"regular+aide";451;473;"non-free";"rural";"bachelor";"level1";3;"cauc";"32";"66"
"male";"cauc";1980;"1";"regular+aide";439;463;"free";"rural";"bachelor";"level1";8;"cauc";"32";"66"
"male";"cauc";1980;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"cauc";1980;"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"cauc";1980;"k";"small";456;602;"free";"urban";"master";"level1";14;"cauc";"26";"59"
"male";"cauc";1980;"1";"small";492;515;"non-free";"urban";"bachelor";"level1";5;"cauc";"26";"59"
"male";"cauc";1980;"2";"small";549;587;"non-free";"urban";"master";"level1";9;"afam";"26";"59"
"male";"cauc";1980;"3";"small";580;614;"free";"urban";"bachelor";"level1";13;"cauc";"26";"59"
"male";"cauc";1979.25;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"cauc";1979.25;"1";"regular+aide";521;502;"free";"urban";"master";"level1";15;"cauc";"27";"60"
"male";"cauc";1979.25;"2";"regular+aide";542;530;"free";"urban";"master";"level1";20;"cauc";"27";"60"
"male";"cauc";1979.25;"3";"small";612;549;"free";"urban";"bachelor";"level1";14;"cauc";"27";"60"
"female";"cauc";1980;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1980;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1980;"2";"regular+aide";568;548;"non-free";"suburban";"master";"level1";21;"cauc";"22";"51"
"female";"cauc";1980;"3";"regular+aide";588;582;"non-free";"suburban";"master";"level1";32;"cauc";"22";"51"
"female";"afam";1980.25;"k";"regular+aide";421;459;"free";"inner-city";"bachelor";"level1";11;"cauc";"11";"31"
"female";"afam";1980.25;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"afam";1980.25;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"afam";1980.25;"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"afam";1980.25;"k";"regular+aide";463;576;"free";"inner-city";"bachelor";"level1";10;"afam";"11";"27"
"male";"afam";1980.25;"1";"regular";478;567;"free";"inner-city";"bachelor";"probation";5;"cauc";"11";"27"
"male";"afam";1980.25;"2";"regular+aide";582;611;"free";"inner-city";"bachelor";"level1";35;"afam";"11";"27"
"male";"afam";1980.25;"3";"regular";622;642;"free";"inner-city";"master";"level3";14;"cauc";"11";"27"
"female";"afam";1980;"k";"regular+aide";425;520;"non-free";"suburban";"bachelor";"level1";8;"afam";"11";"17"
"female";"afam";1980;"1";"regular";457;510;"free";"suburban";"bachelor";"level1";16;"cauc";"11";"17"
"female";"afam";1980;"2";"regular";NA;NA;"free";"suburban";"bachelor";"notladder";12;"cauc";"11";"17"
"female";"afam";1980;"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1979.75;"k";"regular";522;559;"non-free";"urban";"bachelor";"level1";8;"cauc";"6";"9"
"female";"cauc";1979.75;"1";"regular+aide";651;627;"non-free";"urban";"master";"level1";8;"cauc";"6";"9"
"female";"cauc";1979.75;"2";"regular+aide";669;659;"non-free";"urban";"master";"level1";19;"cauc";"6";"9"
"female";"cauc";1979.75;"3";"regular+aide";675;700;"non-free";"urban";"master";"level1";16;"cauc";"6";"9"
"female";"cauc";1980.25;"k";"regular+aide";413;459;"non-free";"rural";"master";"level1";5;"cauc";"15";"39"
"female";"cauc";1980.25;"1";"regular";553;553;"non-free";"rural";"bachelor";"level1";12;"cauc";"15";"39"
"female";"cauc";1980.25;"2";"regular";611;603;"non-free";"rural";"master";"apprentice";1;"cauc";"15";"39"
"female";"cauc";1980.25;"3";"regular";610;642;"non-free";"rural";"master";"level1";18;"cauc";"15";"39"
"male";"cauc";1980.5;"k";"regular";416;513;"non-free";"rural";"master";"level1";13;"cauc";"23";"55"
"male";"cauc";1980.5;"1";"small";536;578;"non-free";"rural";"master";"level1";11;"cauc";"23";"55"
"male";"cauc";1980.5;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"cauc";1980.5;"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"afam";1980.25;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"afam";1980.25;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"afam";1980.25;"2";"regular";555;611;"free";"inner-city";"bachelor";"probation";2;"cauc";"11";"33"
"male";"afam";1980.25;"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"afam";1980;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"afam";1980;"1";"regular+aide";499;481;"free";"inner-city";"bachelor";"notladder";36;"afam";"11";"33"
"male";"afam";1980;"2";"regular+aide";577;577;"free";"inner-city";"bachelor";"level1";31;"afam";"11";"33"
"male";"afam";1980;"3";"regular+aide";612;614;"free";"inner-city";"bachelor";"level1";18;"afam";"11";"33"
"female";"cauc";1979;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1979;"1";"small";457;449;"non-free";"suburban";"bachelor";"notladder";23;"cauc";"22";"51"
"female";"cauc";1979;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1979;"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"afam";1980.75;"k";"regular";419;423;"free";"inner-city";"bachelor";"probation";0;"afam";"11";"27"
"female";"afam";1980.75;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"afam";1980.75;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"afam";1980.75;"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1980.5;"k";"regular+aide";431;494;"non-free";"suburban";"bachelor";"level1";3;"cauc";"25";"58"
"female";"cauc";1980.5;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1980.5;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1980.5;"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1978;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1978;"1";"regular+aide";NA;500;"free";"rural";"bachelor";"level1";13;"cauc";"35";"70"
"female";"cauc";1978;"2";"regular+aide";NA;NA;"free";"rural";"master";"level1";11;"cauc";"35";"70"
"female";"cauc";1978;"3";"regular+aide";NA;543;"free";"rural";"specialist";"level2";16;"cauc";"35";"70"
"male";"afam";1979.5;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"afam";1979.5;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"male";"afam";1979.5;"2";"regular+aide";539;533;"free";"inner-city";"master";"level1";13;"cauc";"11";"26"
"male";"afam";1979.5;"3";"regular+aide";531;562;"free";"inner-city";"master";"level2";13;"afam";"11";"26"
"female";"cauc";1979.5;"k";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1979.5;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1979.5;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"cauc";1979.5;"3";"regular+aide";608;672;"non-free";"rural";"master";"level1";36;"cauc";"38";"74"
"male";"cauc";1980.5;"k";"small";418;439;"non-free";"rural";"bachelor";"level1";8;"cauc";"21";"49"
"male";"cauc";1980.5;"1";"regular";475;497;"free";"rural";"bachelor";"notladder";12;"cauc";"21";"50"
"male";"cauc";1980.5;"2";"regular";526;522;"free";"rural";"bachelor";"notladder";13;"cauc";"21";"50"
"male";"cauc";1980.5;"3";"regular";577;585;"free";"rural";"master";"level1";8;"cauc";"21";"50"
"female";"afam";1980;"k";"regular";422;434;"free";"rural";"master";"level1";15;"cauc";"5";"7"
"female";"afam";1980;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"afam";1980;"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"female";"afam";1980;"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
